identifier,dimension,smiles,bus,elements,ms,nms
PILMUU,0,N=C(N)N,[4],"['C', 'O', 'Zr']",['Zr'],"['C', 'O']"
PILWEN,1,NCCCN,[],"['Mo', 'O']",['Mo'],['O']
PIPHWO,0,C1CCNCC1,[],"['O', 'W']",['W'],['O']
PIPYOF,0,CNC,[],"['O', 'W', 'Zn']","['W', 'Zn']",['O']
PIXPOE,3,CN,[7],"['C', 'Co', 'O']",['Co'],"['C', 'O']"
POBJIB,3,NCCNCCN,[0],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
POBNEB,3,N=CN,[7],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']"
PODCUH,2,C1CNCCN1,[2],"['Ce', 'O', 'S']",['Ce'],"['O', 'S']"
POFMUU,0,Cc1ccc2ccc3ccc(C)nc3c2n1,[],"['Cr', 'O']",['Cr'],['O']
POFYUF,1,C1CNCCN1,[],"['Mo', 'O']",['Mo'],['O']
POHPUA,0,CC(C)NC(C)C,[4],"['C', 'Cl', 'O', 'Sn']",['Sn'],"['C', 'Cl', 'O']"
POJSEP,0,CNC,[11],"['As', 'Nb', 'O', 'W']","['Nb', 'W']","['As', 'O']"
POJVIU,3,CC1CNCCN1,[6],"['As', 'O', 'V']",['V'],"['As', 'O']"
POLBAT,3,CNC,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
POLBIB,3,NCCCN,[1],"['O', 'P', 'V']",['V'],"['O', 'P']"
POLBOH,3,NCCN,[1],"['F', 'O', 'P', 'V']",['V'],"['F', 'O', 'P']"
POLBUN,3,NCCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
POMLAG,1,CCCN(CCC)CCC,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
PONPOX,3,NCCCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
POQKAI,3,NCCN,[0],"['In', 'O', 'P']",['In'],"['O', 'P']"
POQQES,3,C1CNCCN1,"[12, 1]","['B', 'Fe', 'O', 'P']",['Fe'],"['B', 'O', 'P']"
PORGAE,3,c1ccncc1,[1],"['Co', 'Ga', 'O', 'P']","['Co', 'Ga']","['O', 'P']"
POVBEJ,2,c1cc(CCCc2ccncc2)ccn1,[],"['Ag', 'Al', 'Mo', 'O']","['Ag', 'Al', 'Mo']",['O']
POVMOC,3,NCCCCN,"[1, 1]","['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']"
POVMOF,0,N=C(N)N,[],"['Li', 'Np', 'O']","['Li', 'Np']",['O']
POVNUM,1,N=C(N)N,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
POVPAU,1,Nc1ccncc1,[2],"['O', 'S', 'U']",['U'],"['O', 'S']"
POVQAU,2,C(=Cc1ccncc1)c1ccncc1,[],"['Ag', 'Al', 'Mo', 'O']","['Ag', 'Al', 'Mo']",['O']
POWVED,0,C1CN2CCN1CC2,[4],"['C', 'Cl', 'Fe', 'O']",['Fe'],"['C', 'Cl', 'O']"
POXHAM,0,C1CNCCN1,[],"['Al', 'Mo', 'O']","['Al', 'Mo']",['O']
POXJOC,0,CNC,[],"['O', 'V']",['V'],['O']
PUBDAR,0,c1c[nH]cn1,[],"['Mo', 'O', 'Te']","['Mo', 'Te']",['O']
PUBDEV,0,c1cn[nH]c1,[],"['Mo', 'O', 'Te']","['Mo', 'Te']",['O']
PUCFOJ,2,C(CC1CCNCC1)CC1CCNCC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
PUCYIY,1,CNC,[2],"['Fe', 'O', 'S']",['Fe'],"['O', 'S']"
PUHSIV,0,C(=Cc1ccncc1)c1ccncc1,[],"['O', 'V']",['V'],['O']
PUKNIV,2,Cc1ncc[nH]1,[1],"['In', 'O', 'P']",['In'],"['O', 'P']"
PULHOT,3,C1CN2CCN1CC2,[1],"['Ga', 'Mn', 'O', 'P']","['Ga', 'Mn']","['O', 'P']"
PUMREU,2,C1CNCCN1,[],"['O', 'V']",['V'],['O']
PUPCEJ,0,CC1CNCCN1,[2],"['Cu', 'O', 'S']",['Cu'],"['O', 'S']"
PUPJOA,0,c1cc(-c2ccncc2)ccn1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
PUPJUG,0,c1cc(-c2ccncc2)ccn1,[1],"['O', 'P', 'W']",['W'],"['O', 'P']"
PUPYAA,3,CN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
PURBEK,2,CC(CN)CCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
PURBIO,3,NCCCCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
PURBOU,3,NCCCCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
PURBUA,3,NCCCNCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
PUVWEL,1,NCCNCCN,[],"['Mo', 'O']",['Mo'],['O']
PUWZUD,0,Nc1ccncc1,[4],"['C', 'Cr', 'Mn', 'O']","['Cr', 'Mn']","['C', 'O']"
PUXBAM,0,Nc1ccncc1,[4],"['C', 'Co', 'Cr', 'O']","['Co', 'Cr']","['C', 'O']"
PUXGOE,3,C1CCNC1,[5],"['O', 'Si']",['Si'],['O']
PUXHIZ,1,Cc1ccc(N)cc1,[1],"['Cd', 'O', 'P']",['Cd'],"['O', 'P']"
PUZDIY,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10],"['Dy', 'N', 'O']",['Dy'],"['N', 'O']"
PUZDOE,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10],"['N', 'O', 'Yb']",['Yb'],"['N', 'O']"
PUZDUK,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10],"['N', 'O', 'Yb']",['Yb'],"['N', 'O']"
PUZFIA,0,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1,[10],"['N', 'O', 'Sm']",['Sm'],"['N', 'O']"
PYMCAM,0,c1ccncc1,[],"['Cl', 'Mo', 'O']",['Mo'],"['Cl', 'O']"
PYMOCM,1,c1ccncc1,[],"['Cl', 'Mo', 'O']",['Mo'],"['Cl', 'O']"
PYPOAM10,0,c1ccncc1,[],"['Mo', 'O']",['Mo'],['O']
PYPOMO10,0,c1ccncc1,[],"['Mo', 'O']",['Mo'],['O']
QACNEO,2,NCCN,[],"['O', 'V']",['V'],['O']
QACQOB,1,NCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QACRES,3,CN(C)CCN(C)C,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
QADJEL,2,NCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']"
QADJIP,2,NCCN,"[4, 1]","['C', 'Ga', 'O', 'P']",['Ga'],"['C', 'O', 'P']"
QADSUJ,2,CCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QADVUN,3,CCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QADWAU,3,NCCCNCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QADWEY,3,NCCCNCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAGFOT,0,C1CN2CCN1CC2,[],"['Mo', 'O']",['Mo'],['O']
QAHJIT,3,NCCCNCCNCCCN,[],"['Ge', 'O']",['Ge'],['O']
QAHPEX,3,NCCCCN,[7],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']"
QAHQEW,2,Cc1ccc(CN)cc1,[1],"['Li', 'O', 'P']",['Li'],"['O', 'P']"
QAJJOB,3,C1CN2CCN1CC2,[1],"['F', 'In', 'O', 'P']",['In'],"['F', 'O', 'P']"
QAJJUH,3,CN1CCNCC1,[1],"['F', 'In', 'O', 'P']",['In'],"['F', 'O', 'P']"
QAJKAO,3,C1CNCCN1,[0],"['O', 'P', 'V']",['V'],"['O', 'P']"
QAJKIV,3,NCCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
QAKMIZ,2,NC1CCC(N)CC1,[],"['Ge', 'O']",['Ge'],['O']
QAKYEH,1,NCCCCCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAMDIT,1,NCCN,[0],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
QANJOE,0,c1ccncc1,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
QANWOU,0,N=C(N)N,[1],"['O', 'P', 'Ta']",['Ta'],"['O', 'P']"
QAPKAV,2,CNC,"[13, 3]","['O', 'Se', 'U']",['U'],"['O', 'Se']"
QAQHOG,3,c1ccncc1,[1],"['Ga', 'O', 'P', 'Ti']","['Ga', 'Ti']","['O', 'P']"
QATHUO,0,c1ccc(CNCc2ccccc2)cc1,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
QATNII,1,NCCN,[1],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
QATPOR,3,c1ccncc1,[1],"['Ga', 'O', 'P', 'Ti']","['Ga', 'Ti']","['O', 'P']"
QAVPIO,3,CC(CN)CCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QAVPOU,3,CC(CN)CCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
QAXPEK,2,NCCN,[],"['Mo', 'O']",['Mo'],['O']
QAXPIO,2,C1CNCCN1,[],"['Mo', 'O']",['Mo'],['O']
QAXPIR,0,N=C(N)N,[1],"['Nb', 'O', 'P']",['Nb'],"['O', 'P']"
QAXPOX,1,N=C(N)N,[1],"['Cd', 'Nb', 'O', 'P']","['Cd', 'Nb']","['O', 'P']"
QAXPUA,1,C1CN2CCN1CC2,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAXQAH,2,NCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAXQEL,3,C1CN2CCN1CC2,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAXQIP,3,CC(N)CN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
QAXQUB,3,NCCN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
QAXRAI,2,N=C(N)N,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAXREM,2,NC1CCC(N)CC1,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']"
QAXRIQ,2,NC1CCC(N)CC1,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']"
QAXRUC,2,NCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QAXSAJ,2,NCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QAXSEN,2,NCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QAYLEH,1,CC(C)NCCNC(C)C,[1],"['Al', 'F', 'O', 'P']",['Al'],"['F', 'O', 'P']"
QEBREU,1,C1CNCCN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QECMUG,1,C1CNCCN1,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
QECPAP,2,C1CNCCN1,[1],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
QECPET,2,C1CNCCN1,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
QECPIX,0,CN(C)CCN(C)C,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QEGPAU,1,CNC,[20],"['C', 'F', 'Gd', 'O']",['Gd'],"['C', 'F', 'O']"
QEGPEY,1,CN(C)C,[20],"['C', 'F', 'Gd', 'O']",['Gd'],"['C', 'F', 'O']"
QEKFEU,2,CN(C)c1ccncc1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QEKKAS,2,NCCCCCCCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QEKKEW,2,NCCCCCCCCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QEKKIA,2,NCCCCCCCCCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QEKKOG,2,NCCCCCCCCCCCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QEMNEC,0,C1CCNCC1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
QENCAO,0,NCCNCCN,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
QEQTIP,3,CN(C)CCN,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']"
QEQZIV,3,CN(C)CCCN,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']"
QERCEV,3,NCCN,[1],"['F', 'O', 'P', 'Zr']",['Zr'],"['F', 'O', 'P']"
QERQEK,0,NCCCN,[],"['O', 'V']",['V'],['O']
QERQIO,0,c1cc(-c2ccncc2)ccn1,[],"['Ge', 'Mo', 'O']","['Ge', 'Mo']",['O']
QERRIP,0,N=C(N)N,[10],"['N', 'O', 'Pr']",['Pr'],"['N', 'O']"
QESKEF,1,c1cc(CCc2ccncc2)ccn1,[],"['Mo', 'O']",['Mo'],['O']
QESLIK,3,NCCN,"[4, 1]","['C', 'In', 'O', 'P']",['In'],"['C', 'O', 'P']"
QESLOQ,3,NCCCN,"[4, 1]","['C', 'In', 'O', 'P']",['In'],"['C', 'O', 'P']"
QESPEM,3,c1ccncc1,[4],"['C', 'Eu', 'O']",['Eu'],"['C', 'O']"
QESPOW,3,c1ccncc1,[4],"['C', 'O', 'Tb']",['Tb'],"['C', 'O']"
QESRAI,3,NCCNCCNCCNCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QESREM,2,CN(C)c1ccncc1,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
QESROW,2,C1CNCCN1,[1],"['F', 'In', 'O', 'P']",['In'],"['F', 'O', 'P']"
QETZOE,0,CNC,[],"['O', 'V']",['V'],['O']
QEVDUT,0,c1ccc2[nH]cnc2c1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
QEYHOS,3,NCCN,[],"['Ge', 'O']",['Ge'],['O']
QEZYUR,3,C1CNCCN1,[2],"['O', 'S', 'Sm']",['Sm'],"['O', 'S']"
QEZZAY,3,C1CNCCN1,[2],"['Eu', 'O', 'S']",['Eu'],"['O', 'S']"
QEZZEC,3,C1CNCCN1,[2],"['O', 'S', 'Tb']",['Tb'],"['O', 'S']"
QICTIG,2,NCCN,"[2, 26]","['Nd', 'O', 'S']",['Nd'],"['O', 'S']"
QIFCAJ,1,NCCN,[1],"['O', 'P', 'Ti']",['Ti'],"['O', 'P']"
QIFPAY,2,CN(C)CCN(C)C,[],"['O', 'Te', 'V']","['Te', 'V']",['O']
QIGCUE,0,N=C(N)N,[4],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
QIGDAL,0,C1CNCCN1,[4],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
QIGDEP,1,C1CN2CCN1CC2,[4],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
QIGDIT,2,C1CNCCN1,[4],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
QILBOF,0,CN(C)C(N)=NC(=N)N,[],"['O', 'V']",['V'],['O']
QISXEW,1,CN1CCCC1c1cccnc1,[1],"['Fe', 'Mo', 'O', 'P']","['Fe', 'Mo']","['O', 'P']"
QIWCAB,1,C1CNCCN1,[0],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
QIWZOM,2,CCCCNC,"[13, 3]","['O', 'Se', 'U']",['U'],"['O', 'Se']"
QIXPAO,0,c1cc2cc(c1)CNCCN1CCNCc3cccc(c3)CNCCN(CCNC2)CCNCc2cccc(c2)CNCC1,[],"['Cr', 'O']",['Cr'],['O']
QOBHOF,0,NCCN,"[14, 12]","['B', 'O', 'V']",['V'],"['B', 'O']"
QOBPEE,3,c1c[nH]cn1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
QOBPII,3,CN,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
QOBTIL,2,c1cc(-c2ccncc2)ccn1,[1],"['Cl', 'O', 'P', 'Zn']",['Zn'],"['Cl', 'O', 'P']"
QOBVOT,2,NCCCCN,"[4, 1]","['Al', 'C', 'O', 'P']",['Al'],"['C', 'O', 'P']"
QOBWEJ,3,NCCCN,"[1, 1]","['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QOBWIN,3,NCCCN,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QOBZAI,3,C1N2CN3CN1CN(C2)C3,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QOCBUH,3,c1ccncc1,[1],"['Be', 'O', 'P']",['Be'],"['O', 'P']"
QOFKOL,3,C1CNCCN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QOFKUR,1,CC1CNCCN1,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QOFNEG,2,Cn1ccnc1,[6],"['As', 'O', 'U']",['U'],"['As', 'O']"
QOFNUW,2,c1ccncc1,[13],"['O', 'Se', 'U']",['U'],"['O', 'Se']"
QOFPAE,3,Cn1ccnc1,[1],"['O', 'P', 'U']",['U'],"['O', 'P']"
QOFYIT,2,CCCN,"[1, 8]","['C', 'O', 'P', 'Zn']",['Zn'],"['C', 'O', 'P']"
QOGTEM,2,c1c[nH]cn1,[],"['Mn', 'Mo', 'Na', 'O']","['Mn', 'Mo', 'Na']",['O']
QOGZET,3,c1c[nH]cn1,[0],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
QOGZIX,3,NCCN,[0],"['Ga', 'O', 'P']",['Ga'],"['O', 'P']"
QOJKAB,3,N=C(N)N,[15],"['C', 'O', 'Zn']",['Zn'],"['C', 'O']"
QOLHUV,0,C(=Nn1cnnc1)c1ccncc1,[10],"['Ce', 'N', 'O']",['Ce'],"['N', 'O']"
QONBUS,1,N=C(Nc1ccccc1)Nc1ccccc1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
QONDUV,1,NCCN,[],"['O', 'Sb', 'W']","['Sb', 'W']",['O']
QONFAD,0,NCCN,[],"['O', 'Sb', 'W']","['Sb', 'W']",['O']
QOPDEE,3,NC1CCCCC1N,[1],"['Ga', 'O', 'P', 'Zn']","['Ga', 'Zn']","['O', 'P']"
QOTMAO,1,c1cncc(-c2nc3ccccc3[nH]2)c1,[],"['Mo', 'O']",['Mo'],['O']
QOVZUZ,0,C1CNCCN1,[10],"['N', 'O', 'Pt']",['Pt'],"['N', 'O']"
QOWWIJ,2,CC(N)C=N,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
QOXCEN,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
QOXCIR,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
QOXCOX,2,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
QOXCUD,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
QOXDAK,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
QOZBAJ,0,CN(C)C,[],"['Mn', 'Mo', 'O', 'V']","['Mn', 'Mo', 'V']",['O']
QOZFIU,2,NCCCCCCN,[1],"['F', 'Ga', 'O', 'P']",['Ga'],"['F', 'O', 'P']"
QOZQAZ,1,CNC,[],"['O', 'U']",['U'],['O']
QOZQED,0,CNC,[],"['O', 'U']",['U'],['O']
QUFKOS,0,N=C(N)N,"[4, 8]","['C', 'O', 'U']",['U'],"['C', 'O']"
QUJCUT,2,NCCN,[0],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
QULMIV,0,c1c[nH]cn1,[],"['O', 'V']",['V'],['O']
QUMNET,2,C(CC1CCNCC1)CC1CCNCC1,[0],"['Co', 'O', 'P']",['Co'],"['O', 'P']"
QUPCUC,2,c1cc(CCCc2ccncc2)ccn1,[1],"['Cd', 'Mo', 'O', 'P', 'Zn']","['Cd', 'Mo', 'Zn']","['O', 'P']"
QURBOW,2,Nc1cccc(N)n1,[4],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']"
QURCAH,2,C1CNCCN1,[1],"['Mn', 'O', 'P']",['Mn'],"['O', 'P']"
QUTFIW,0,CN(C)c1ccncc1,[4],"['C', 'Cr', 'O']",['Cr'],"['C', 'O']"
QUXPAB,0,NCCN,[2],"['Ce', 'O', 'S']",['Ce'],"['O', 'S']"
RABQEQ,1,NC1CCCC1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
RABQIU,2,NC1CCCC1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
RACMIS,2,NCCN,[3],"['Cd', 'Cl', 'O', 'Se']",['Cd'],"['Cl', 'O', 'Se']"
RACWUN,3,NCCN,"[12, 1]","['B', 'Co', 'O', 'P']",['Co'],"['B', 'O', 'P']"
RAFMUH,3,NCCNCCN,"[12, 1]","['B', 'O', 'P', 'Zn']",['Zn'],"['B', 'O', 'P']"
RAGDIN,1,c1cc(-c2ccncc2)ccn1,[13],"['O', 'Se', 'Zn']",['Zn'],"['O', 'Se']"
RAGDUZ,0,C1CNCCN1,[13],"['O', 'Se', 'Zn']",['Zn'],"['O', 'Se']"
RAHBEI,1,CC1CNCCN1,[2],"['Mo', 'O', 'S']",['Mo'],"['O', 'S']"
RAHSUR,0,c1cc(-c2ccncc2)ccn1,[5],"['O', 'Si', 'W']","['Si', 'W']",['O']
RAHTAY,0,NCCN,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
RAHTEC,0,c1c[nH]c(-c2ncc[nH]2)n1,[1],"['Mn', 'Mo', 'O', 'P']","['Mn', 'Mo']","['O', 'P']"
RANMOK,1,N=C(N)N,[4],"['C', 'O', 'Th']",['Th'],"['C', 'O']"
RANMUQ,1,N=C(N)N,[4],"['C', 'O', 'U']",['U'],"['C', 'O']"
RANNAX,1,N=C(N)N,[4],"['C', 'Np', 'O']",['Np'],"['C', 'O']"
RANNEB,1,N=C(N)N,[4],"['C', 'O', 'Pu']",['Pu'],"['C', 'O']"
RANTOS,3,CNC,[7],"['C', 'Cr', 'O', 'Zn']","['Cr', 'Zn']","['C', 'O']"
RANZUB,2,NCCN,[4],"['C', 'Fe', 'Mo', 'O']","['Fe', 'Mo']","['C', 'O']"
RAPBOZ,3,C1CNCCN1,"[4, 1]","['Al', 'C', 'O', 'P']",['Al'],"['C', 'O', 'P']"
RAPMOK,3,N=C(N)N,[1],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
RAPMUQ,2,c1ccncc1,[1],"['In', 'O', 'P']",['In'],"['O', 'P']"
RAQNED,2,NCCN1CCNCC1,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
RAQVAG,3,NCCN,[1],"['Fe', 'O', 'P']",['Fe'],"['O', 'P']"
RATPOT,0,C1CN2CCN1CC2,[1],"['Mo', 'O', 'P', 'Sb']","['Mo', 'Sb']","['O', 'P']"
RAWJUU,0,Cc1ccc2ccccc2n1,[],"['Cr', 'O']",['Cr'],['O']
RAZNIP,0,CC(C)(C)N,[],"['O', 'V']",['V'],['O']
RAZNOV,0,CC(C)(C)N,[],"['O', 'V']",['V'],['O']
REBSOG,2,C1CN2CCC1CC2,[],"['O', 'V']",['V'],['O']
REBSUM,2,NCCCCN,[1],"['F', 'Fe', 'O', 'P']",['Fe'],"['F', 'O', 'P']"
REFFOX,2,c1cc(-c2ccncc2)ccn1,[],"['Mo', 'O']",['Mo'],['O']
REGJUI,3,NCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
REHQUQ,3,NCCCCN,[1],"['O', 'P', 'Sn']",['Sn'],"['O', 'P']"
REKCUG,3,CN(C)CCCN,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
REKGUL,1,CNC,[2],"['Cu', 'O', 'S']",['Cu'],"['O', 'S']"
REKKOJ,1,CN1CCN(C)CC1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
REKKUP,3,CC1CNC(C)CN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
REKLAW,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
REKLEA,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
REKLIE,3,CC1CNCCN1,[3],"['O', 'Se', 'V']",['V'],"['O', 'Se']"
RELJAT,0,c1ccncc1,[8],"['C', 'Cl', 'Mn', 'O']",['Mn'],"['C', 'Cl', 'O']"
REMXOX,1,Cc1ccc(N)cc1C,[1],"['Cd', 'O', 'P']",['Cd'],"['O', 'P']"
REMYUG,3,CNC,[7],"['C', 'Cr', 'Fe', 'O']","['Cr', 'Fe']","['C', 'O']"
REMZAN,3,CNC,[7],"['C', 'Cr', 'Ni', 'O']","['Cr', 'Ni']","['C', 'O']"
REYJOX,0,C(CC1CCNCC1)CC1CCNCC1,[],"['Cr', 'O']",['Cr'],['O']
REZJIR,3,c1c[nH]cn1,[7],"['C', 'Mn', 'O']",['Mn'],"['C', 'O']"
REZVEZ,2,NCCCCCCN,[],"['Ge', 'O']",['Ge'],['O']
REZVID,2,NCCCCCCN,[],"['Ge', 'O']",['Ge'],['O']
RICNEZ,0,C1CNCCN1,[],"['Cr', 'Mo', 'O']","['Cr', 'Mo']",['O']
RIGQOO,0,N=C(N)N,[],"['Co', 'Mo', 'Na', 'O']","['Co', 'Mo', 'Na']",['O']
RIGQUT,0,c1ccncc1,[],"['O', 'V']",['V'],['O']
RIHTIL,1,NCCN,[1],"['Al', 'O', 'P']",['Al'],"['O', 'P']"
RINSEM,3,N=C(N)N,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
RISVEV,0,Nc1ccncc1,[4],"['C', 'Cu', 'O']",['Cu'],"['C', 'O']"
RIYKEQ,3,NCCNCCNCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
ROBHUM,3,CNCCCN,"[14, 12]","['Al', 'B', 'O']",['Al'],"['B', 'O']"
ROBRIK,1,NCCCN1CCN(CCCN)CC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ROBROQ,2,NCCCN1CCN(CCCN)CC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ROBRUW,3,NCCCN1CCN(CCCN)CC1,[0],"['O', 'P', 'Zn']",['Zn'],"['O', 'P']"
ROBVIN,0,Nc1ccncc1,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
ROBVOT,0,NCCN,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
ROBVUZ,0,NCCNCCN,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
ROBWAG,0,CC(C)(C)N,[1],"['Mo', 'O', 'P']",['Mo'],"['O', 'P']"
ROFPAG,0,NCCCN,[],"['Mo', 'O']",['Mo'],['O']
ROHQAH,0,c1ccncc1,[4],"['C', 'O', 'V']",['V'],"['C', 'O']"
